customer_id,name,age,gender,city,income,signup_date
1001,John Smith,34,Male,Bloemfontein,45000.0,2025-01-15
1002,Jane Doe,29,Female,Cape Town,52000.0,2025-02-15
1003,Peter Jones,36,Male,Johannesburg,61000.0,2025-01-03
1004,Sarah Williams,41,Female,Cape Town,60000.0,2025-03-18
1005,John Smith,34,Male,Bloemfontein,45000.0,2025-01-15
1006,David Brown,52,Male,Durban,78000.0,2025-04-22
1007,Lisa Adams,36,Female,Johannesburg,69000.0,2025-03-05
1008,Mark Wilson,38,Male,Durban,60000.0,2025-05-17
1009,Anna Davis,27,Female,Cape Town,55000.0,2025-01-06
1010,Michael Lee,45,Male,Durban,72000.0,2025-06-15
1011,Emily Clark,31,Female,Bloemfontein,48000.0,2025-02-07
1012,Tom Harris,39,Male,Pretoria,67000.0,2025-07-02
1013,Grace Adams,28,Male,Pretoria,59000.0,2025-07-20
1015,Peter Jones,45,Male,Johannesburg,61000.0,2025-01-08
